Item Number,Old product code,LOCAL ITEM NAME TRANSLATION,UPC Code,Primary Units Type
2002487,130896,"Savienojums 3/8"" (F-F)",2000000147772,Piece
2002488,130898,"Savienojums 1/2"" (F-F)",2000000147789,Piece
2002489,130902,"Savienojums 3/4"" (F-F)",2000000147802,Piece
2002491,130910,"Savienojums 1.3/8"" (F-F)",2000000147833,Piece
2002493,1312607,"Kabelis Olflex 400P 7G6,0",2000000042305,Meter
2002494,131668,"Līkums 90 3/8""(F-F) LT",2000000147840,Piece
2002495,131676,"Līkums 90 5/8"" (F-F) LT",2000000147857,Piece
2002496,131684,"Līkums 90 3/4"" (F-F) LT",2000000147864,Piece
2002497,131708,"Līkums 90 1.1/8"" (F-F) LT",2000000147888,Piece
2002498,131720,"Līkums 90 1.3/8"" (F-F) LT",2000000147895,Piece
2002500,131802,Līkums 1-pusējs 90 5/8 (M-F)LT,2000000149110,Piece
2002501,1319210,On/Off slēdzis 16A 250V (1319210),2000000147154,Piece
2002502,132044,"Pāreja 1/2"" X 3/8"" (M-F)",2000000149134,Piece
2002505,132700,"T-Savienojums 5/8"" (F-F-F)",2000000147925,Piece
2002507,132768,"T-Savienojums 7/8"" (F-F-F)",2000000147949,Piece
2002508,1397014,Boilera temperatūras devējs Bonamat,2000000141879,Piece
2002509,14.00565,Kafijas sietiņš D.37 Plus5 La San Marco,2000000128542,Piece
2002510,14.01602,Kafijas sietiņš La San Marco Plus5,2000000123981,Piece
2002511,1400027,Mini Eolus portable evaporative cooler,2000005001833,Piece
2002512,140A13,Elektrotens 140A13/0.63 S220,2000005002663,Piece
2002513,141034,"Mitruma filtrs 1/4"""" 30gr. NMS 2V10",2000000048017,Piece
2002514,14123,Termoregulators AKO,2100000010530,Piece
2002515,14323,Temoregulators AKO 3 releju,2000000041704,Piece
2002516,144541,"Lodv. ventilis Arco 1/2"""" FF "" gar. rokt. PN 30",2000005000966,Piece
2002518,149F.U188,Plēves nostiepes motors Automac Elixa Plus,2000000014418,Piece
2002519,150300,TGA 60/1 180/30 ventilators,2000000093116,Piece
2002521,1530207,"Ventilators vāveres rats 300mm 230V,50Hz,IP00,44W,280m (1530207)",2000000075662,Piece
2002522,154039,Gaisa pūtēja disks,2000000152905,Piece
2002523,154470,Motors 208-230V,2000000152899,Piece
2002524,155801,Sensors AKO PTC,2000000063683,Piece
2002525,156527,Slēdzis 16A 250V,2000000153056,Piece
2002526,16.05018,Pāreja 1/8F-1/4M,2000000144320,Piece
2002527,16.05066,Pāreja D.=6 1/4,2000000144290,Piece
2002528,16039,Atdure Adler CF40E,2000000136554,Piece
2002529,167-1,Clean-screen skreens(12/pkg),2100000012473,Piece
2002530,167-2,Clean-screen pads (4/pkg),2100000012466,Piece
2002531,16754,Amortizātora stiprinājuma ass ar sprostgredzenu (60250),2000000159157,Piece
2002532,17002297,Rimi karodziņš A5106228,2000000110806,Piece
2002533,173208,080CPDT On/Stop pogas cepure,2000000074634,Piece
2002534,17369,Blīvslēgs WA 35*52*7,2000000164731,Piece
2002535,17622903,Sākuma ķēde atslēgu sistēmas stiprināšanai,2000000050751,Piece
2002536,180.007.95,Groziņu pacelšanas mehānisma devējs,2000000103549,Piece
2002538,180028CR,Gultnis 628 2RS (180028) Craft,2000000118390,Piece
2002539,180100,"Caurule 1/4"""" (6.35*0.8)",2000005001000,Meter
2002540,180101,"Caurule 3/8"""" (9.52X0.8) (180101)",2000005001017,Meter
2002541,180102SKF,Gultnis 6002 2RS,2000000153834,Piece
2002542,180107FAG,Gultnis 6007 2RS (180107) FAG,2000000125275,Piece
2002543,180200,Gultnis 6200 2RS SKF,2000000167589,Piece
2002545,180332,Caurule 1/2*1.0mm 80Bar,- None -,Meter
2002546,180334,Caurule 3/4*1.3mm 80Bar,2000000147697,Meter
2002554,182010,"AVX-4 adatventilis 1/4""",2000000083797,Piece
2002555,182011,VC-500-01 adatventilis 6mm (182011),2000000093093,Piece
2002558,182061,Nrs 4-86 Uzgrieznis 1/2*3/8,2000000063416,Piece
2002559,185071,P9Xer4Rn Stop Poga+Rotfix Sarkans,2000000074672,Piece
2002560,185300,Kapilārs 1000Mm/Bez Ventiļa,2000000064567,Piece
2002561,187002,P9B10Vn Kontaktu Bloks 1No,2000000074658,Piece
2002562,190.001.82,Groza Devējs F3Dn Iekārtai,2000000063379,Piece
2002563,19000214,Paplāksne 1/2 O.D.*1/4 I.D.*18 Thk,2000000120720,Piece
2002564,1912-02,Kases galda lentas tīrītājs,2000000077666,Piece
2002565,196232,Gāze (196232),2000000121673,Piece
2002566,1C.310,"Apsildes kabelis SP 6000, 220V",2000000093086,Piece
2002567,2.24.010.02,Gultnis D10 6200-2Z C3-AT,2000000021287,Piece
2002568,2.35.049.01,Gredzens D48.89*2.62,2000000146980,Piece
2002569,2.91.011.00.050,Sprost gredzens Din 471-5mm ID,2000000090788,Piece
2002570,2.91.021.00.300,Sprostgredzens D30B Din472 UNI 3654,2000000029023,Piece
2002571,20080,Adler PM50E boilera sildelements 400V 6000W,2000000131436,Piece
2002572,2028EV-4312-13,QL3B filtra galva,2000000078687,Piece
2002573,2028EV-960725,Everpure Eso everplus filtra kārtridžs,2000000078694,Piece
2002574,2039.0339,Blīve CPC DT 61-102,2000000141503,Piece
2002575,2056070,"Savienojuma spailes Obo, 2.5-4mm2, 24A",2000005001871,Piece
2002577,20694,Adler PM50E tanka sildelements 230V 2800W,2000000131429,Piece
2002578,21516,Swibo atkaulošanas nazis 16 cm (liekts ar taisnu rokturi),2000000034119,Piece
2002579,21534,Qtde 120W (150) 240V 78mm R7S Eco SY spuldze - Ubert vitrīna,2000000162805,Piece
2002580,2183,Galvenā plate NCR skanerim,2000000035239,Piece
2002581,22.00741,"Boilera Noslēgšanas Korķis M 1/4""""",2000000099637,Piece
2002582,22.01257,Pāreja D.0.8 1/8M A La San Marco,2000000131603,Piece
2002583,22.05005,T Connection,2000000101217,Piece
2002584,2241,Gāzes amortizātors Talsa maisītājam,2000000087887,Piece
2002585,22438,VCB-61 Blīve,2000000161426,Piece
2002588,23522,"Swibo miesnieka nazis 22 cm šaurs, (liekts)",2000000019628,Piece
2002589,23932,Swibo miesnieka nazis 32 cm lielais,7611640011061,Piece
2002590,23936,Swibo miesnieka nazis 36 cm (liels),2000000071558,Piece
2002591,24225,Swibo nazis 25cm (robots),2000000094656,Piece
