Item Number,Old product code,LOCAL ITEM NAME TRANSLATION,UPC Code,Primary Units Type
2000279,5.8443.25,Swibo nazis 25cm (lokans),7611640011122,Piece
2000280,5.8451.31,Swibo pavāra nazis 31cm,2000000128948,Piece
2000281,50003650000,O-Blīve 58.42*2.62,2000000156446,Piece
2000282,50009750000,V-rievsiksna PJ 4-508 Bizerba S111 irdinātājam,2000000077031,Piece
2000283,50009960000,Zobsiksna T2.5/330*9 GLP,2000000073774,Piece
2000284,500289,Motora palaišanas relejs CL50 Robot Coupe,2000000123929,Piece
2000285,500598,Valve-check-duckbill,2100000011797,Piece
2000286,5009560,S/S atvilktņu sliede (Bistro) labā/kreisā,2000000163130,Piece
2000287,5017099,Blīve D.32*26*5mm Winterhalter 70009122,2000000133829,Piece
2000288,502338,Ventilātors krāsns motoram,2000000152912,Piece
2000289,5026030,Amortizātors vakuuma pakotājam,2000000098609,Piece
2000290,5027498,Tvaika ģenrātora blīve,2000000124865,Piece
2000291,50275110000,Atspere VD-124 0.8*21.5,2000000012773,Piece
2000292,502831,Krāsns sildelements 230V,2000000152882,Piece
2000293,502943,Kondensators,2000000152868,Piece
2000295,5049908,Potencometrs SMEG,2000000108360,Piece
2000296,5056285,Lower arm support kit,2000000146645,Piece
2000297,5056776,Blīvgumija maisītāja vākam,2000000113647,Piece
2000299,5060367,Tējas vārsta augšējais vāks,2000000115702,Piece
2000300,5060370,Boilera silikona blīvgumija 33/29/21/12mm,2000000115719,Piece
2000301,5061573,Kafijas blīvējums,2000000117287,Piece
2000302,5070862,Kakao aparāta produktu tvertnes piedziņas šneks,2000000144429,Piece
2000303,5071223,Displeja kabelis kakao aparāta 280mm,2000000145389,Piece
2000304,5073561,Boilera caurule D24mm,2000000152554,Piece
2000305,5076175,Distancers komplekts,2000000160634,Piece
2000306,50776270000,Zobsiksna 9 T2.5X380,2000000126531,Piece
2000307,50777400000,Konveijera pievades zobsiksna GV/GS/GLM-E,2000000012834,Piece
2000308,511149,Žikliera turētājs labais,2000000077710,Piece
2000309,512350,Solenoīda vārsts,2000000153162,Piece
"2000310,512406,""Ūdens caurule 1/4"""""""""",2000000152776,Piece"
2000311,512545,Savienojuma ligzda 1/8 BSPT,2000000152769,Piece
2000312,512569,Durvju slēdzis,2000000152646,Piece
2000313,512616,Drošinātājs 63 AMP,2000000152684,Piece
2000314,512817,Durvju eņģe,2000000000000,Piece
2000315,518581,Paneļa stūrītis Elettrobar kreisais,2000000078236,Piece
2000316,52004000000,Ķēžu rotācijas motors VS8D slaiserim,2000000025285,Piece
2000317,521712,Blīvgumija sūknim,2000000062143,Piece
2000318,529029.1,Drosele-balasts 36W,2000005001598,Piece
2000320,550500,Siera griežamā virsma Boska Holland 470*350*53,2000000030807,Piece
2000321,552010,Stīgu kmpl. siera griezējam 10 gab. (552010),8713638005133,Piece
2000322,56044800000,Ieregulēšanas skrūve DIN 551-M8*35-MS,2000000094939,Piece
2000323,56444800000,Uzgrieznis BM8,2000000021546,Piece
2000324,567,T8 15W 840 Luxline Plus Sy Spuldze - Isa Expo (Kase),2000000162836,Piece
2000325,56777410000,Blīvslēgs M4 4.5*7*1,2000000143026,Piece
2000326,57465120000,Vs12 Slaisera Skrūve,2000000013695,Piece
2000327,57753500000,Sprostgredzens DIN 6799-5-1.4122,2000000033372,Piece
2000328,57773750000,A 500 Konveijera ass sprost gredzens,2000000095745,Piece
2000329,600018,Kondensātors 60MF 250V,2000000129228,Piece
